OTU	ERR1456790	ERR1456791	ERR1456792	ERR1456793	ERR1456794	ERR1456795	ERR1456796	ERR1456797	ERR1456798	ERR1456799	ERR1456800	ERR1456801	ERR1456802	ERR1456803	ERR1456804	ERR1456805	ERR1456806	ERR1456807	ERR1456808	ERR1456809	ERR1456810	ERR1456811	ERR1456812	ERR1456813	ERR1456814	ERR1456815	ERR1456816	ERR1456817	ERR1456818	ERR1456819	ERR1456821	ERR1456822	ERR1456823	ERR1456824	ERR1456825	ERR1456826	ERR1456827	ERR1456828	ERR1456829
5463083b5fedff644c0ac55f501c6eec	23	39	39	0	26	37	73	0	46	54	45	0	19	47	13	50	47	42	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
057b4dd4ce89a652d8877f23503b6e9b	59	53	65	0	44	64	62	0	0	40	62	0	29	50	32	39	17	50	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31f6d275d8268415bdb312deada3e6f8	185	153	188	0	147	0	0	0	0	154	143	0	0	168	0	0	0	113	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a49cd296708e16c5a2ead1162a4d9273	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
439abb3fb951bb63270bcb8588f1b7ed	393	312	413	307	356	479	410	381	373	311	314	228	307	304	224	279	262	269	206	0	0	0	0	0	0	0	20	0	0	16	26	0	18	0	0	0	22	0	0
7a826e37b531e4456597ddb039c9d2c2	25	0	0	0	21	0	0	0	0	21	22	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ca9f5819f6a5ea1203695d6f52fa163	47	0	49	0	45	55	0	0	45	0	0	0	40	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4827e657b02f39069522c2e41b0b99a6	465	408	488	419	452	516	440	403	429	387	350	297	430	437	315	301	307	398	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32b218dd18e6225625a22769059155b0	7	6	4	0	0	0	3	0	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc4a17445695fd5d1411635c8c09f0fa	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
520404663afbe675c5896a0ccdd354aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	27	0	0	31	0	0	0	0	0	0
f6c5379efd462bd5ff4a7b3fa3e14a58	44	0	40	30	42	0	36	0	0	0	33	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ccecd1e17f7dc912f2807c6ee1937213	0	31	33	0	36	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
