	BulkRAG1	BulkRAG2	BulkRAG3	BulkTP1	BulkTP2	BulkTP3	RAG1	RAG10	RAG12	RAG2	RAG3	RAG4	RAG5	RAG6	RAG7	RAG8	RTP1	RTP10	RTP11	RTP12	RTP2	RTP3	RTP4	RTP5	RTP6	RTP7	RTP9
K10041	141.32278123230765	155.81717451520868	103.92777712340566	181.0008237384103	217.37740553671193	243.66974902011304	143.163215939408	138.84809484390792	211.1886278565114	165.84239049960834	120.11623555710659	88.94004394685031	315.96856517861704	155.61709041810857	157.0443358595083	107.91663757140572	228.9760367770124	212.03220395001136	264.14812230551405	190.79043354320967	202.460819230011	314.5086784738157	226.95794876561237	268.9575521698146	263.00490019651266	250.24372696321223	260.7154030660084
K10040	70.66139061617112	34.62603878116533	41.57111084936936	36.9389436200925	43.475481107348486	61.94993619156902	49.366626186035944	5.340311340151434	72.82366477811023	29.614712589215795	92.39710427475707	47.085905618920805	441.54581544192376	36.61578598073292	40.38282922101733	57.13233753785322	26.42031193581773	112.252343267606	74.75890253931466	56.11483339506255	27.608293531378294	0.0	52.37491125362544	100.19987237700543	27.684726336481535	83.41457565441749	65.17885076650539
K10039	0.0	95.22160664820481	13.857036949789757	25.857260534064668	33.24595614091353	16.519982984418384	69.11327666045035	42.72249072121143	58.25893182248814	17.768827553529494	23.099276068689267	26.158836454956003	425.34229927892295	27.46183948554972	8.973962049114965	12.696075008411773	17.613541290545154	68.59865421913267	34.88748785168015	0.0	23.006911276148646	39.31358480923276	40.73604208615312	47.46309744174157	83.0541790094445	20.85364391360442	39.10731045990325
K10202	23.553796872057077	51.939058171747995	34.64259237447449	18.46947181004625	28.13119365769604	20.649978730523003	44.429963567432374	5.340311340151434	43.69419886686615	23.691770071372694	27.71913128242712	31.3906037459472	4.050879040752059	64.07762546628274	35.895848196459895	12.696075008411773	52.84062387163536	81.07113680442953	19.93570734381726	89.78373343209995	18.405529020918895	0.0	46.55547666988934	36.9157424546879	83.0541790094445	41.707287827208745	13.035770153301117
K10201	47.107593744114055	17.313019390582664	20.78555542468463	33.24504925808319	35.803337382522265	20.649978730523003	14.809987855810824	37.38217938106003	29.12946591124407	29.614712589215795	18.479420854951414	10.463534581982401	12.152637122256156	13.73091974277486	17.947924098229947	25.392150016823642	44.03385322636278	24.944965170593733	59.80712203145177	22.44593335802504	27.608293531378294	0.0	40.73604208615312	21.094709974107342	0.0	10.42682195680221	52.14308061320427
K10200	47.107593744114055	51.939058171747995	62.35666627405401	29.551154896073978	63.93453104021831	45.42995320715063	34.55663833022512	10.680622680302909	7.282366477811022	76.99825273196107	41.578696923640685	26.158836454956003	20.254395203760293	32.03881273314137	35.895848196459895	12.696075008411773	8.806770645272566	49.889930341187466	44.85534152358878	67.33780007407502	78.22349833890524	39.31358480923276	52.37491125362544	89.65251738995634	69.21181584120373	36.49387684880769	52.14308061320427
K02031	4781.420765027559	5081.371191135983	4746.035155302959	5311.820092569202	5362.8284636534945	5414.424423143089	5040.33253359418	4592.667752530162	5068.527068556474	4868.658749667045	5155.758418531383	5278.853196610103	6351.778335899143	5149.094903540485	5169.002140290173	4678.503640599748	5477.811341359497	5319.513822629085	5068.653592165469	5387.024005925973	5296.1909757693875	4914.198101154044	4678.825405323854	5184.024976136881	5370.836909277358	5249.904855249857	5110.021900093963
K02034	4557.659694742948	4172.437673130332	4170.968121886727	4624.755741235563	4603.286234895652	4914.694937864463	4260.339839854837	4998.531414381685	4485.937750331542	4382.977463203921	4435.061005188342	4881.23888249478	6457.101190958749	4764.629150742864	4262.631973329526	4323.013540364229	5257.6420752276845	4433.967559073038	4610.132323257645	4309.619204740719	4559.969814932647	5032.13885558175	4993.074872845571	4709.3940017194545	4858.669472052434	5020.514772200246	4679.84148503505
K02033	4322.121726022434	4484.07202216085	3789.8996057675063	5226.860522242998	5293.77917012999	4840.35501443456	4887.295992417472	4598.008063870362	4864.620807177762	4951.57994491685	4379.62274262344	4708.590561892071	7271.327878149892	5139.9409570453845	4679.921208613447	3904.043065086607	5011.052497160071	4702.125934656851	5188.267836228375	4578.970405037033	5627.490498145906	4678.316592298632	5254.949429113686	5405.519430864993	5066.304919576043	4801.551511107334	4875.378037334556
K02035	4275.014132278331	4397.506925207946	4191.753677311328	5167.7582124508945	5027.811521002676	5249.224593298881	4141.85993700833	4491.201837067356	5170.480199245779	4927.888174845448	4467.399991684445	4792.298838547875	7283.480515272193	5181.133716273686	4567.746682999441	4145.26849024642	4808.49677231876	5344.458787799686	4784.569762516055	5005.443138839554	4960.290071137569	5091.109232795554	5470.268508711898	4951.983166421668	5010.935466903142	4796.3381001289345	4692.87725518835
K02050	3639.0616167327976	3107.686980609573	3200.975535401374	4676.470262303666	4434.499072949543	5005.5548442787685	3569.207073250399	3556.647352540803	3735.8540031170014	3453.075487902474	3451.031844662089	3683.1641728577115	4221.015960463627	3730.2331967871064	4033.7959410771136	3351.7638022206775	4244.86345102133	4714.598417242153	4375.887761967832	4691.200071827137	4357.508995702536	4521.062253061725	4608.992190318951	4593.373096861849	4304.974945322808	4666.002825668928	4054.1245176766292
K02051	2249.387601281422	2181.4404432134215	1898.4140621212034	2279.13282135963	2483.2171856020364	2614.2873072841403	2157.3215643297203	2013.2973752370144	2170.1452103876168	2073.029881245104	2342.2665933650287	2249.659935126129	4188.608928137626	1931.4827104836065	2306.308246622522	2297.989576522522	2624.417652291142	2600.512619034339	2571.7062473523365	2581.282336172831	2728.6196773511483	2555.383012600127	2688.578777686046	2621.017714282842	2906.8962653305402	2351.2483512588146	2672.3328814266856
K06074	0.0	0.0	6.928518474894887	3.69389436200925	2.5573812416087303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.973962049114965	0.0	0.0	12.472482585296866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.282366477811022	0.0	4.6198552137378535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.601382255229719	0.0	0.0	0.0	0.0	5.213410978401095	0.0
